Country;Legal entity;Division;Position title;Link Type;Link Name;Link url;Image
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;REP;Local;FONDAZIONE MENARINI;http://www.fondazione-menarini.it;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Local;ALBO MEDICI;http://www.fnomceo.it;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Local;FUEL CARD;http://www.multicard.eni.com/it;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;REP;Local;WELFARE - FOOD CARD;https://titolari.ticketxte.com/web/beneficiari;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Local;NUOVO PORTALE;https://beneficiari.edenred.it/group/portale-beneficiari;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Local;MENARINI EASY CHECK;https://mec.menarini.net;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;REP;Local;MENARINI.IT;http://www.menarini.it/;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Corporate;SELF SERVICES PASSWORD;https://password.menarini.com/sspr/private/Login;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Corporate;Google 2-Step Verification;https://myaccount.google.com/signinoptions/two-step-verification/enroll-welcome;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;AM;Local;FONDAZIONE MENARINI;http://www.fondazione-menarini.it;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Local;ALBO MEDICI;http://www.fnomceo.it;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Local;FUEL CARD;http://www.multicard.eni.com/it;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;AM;Local;WELFARE - FOOD CARD;https://titolari.ticketxte.com/web/beneficiari;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Local;NUOVO PORTALE;https://beneficiari.edenred.it/group/portale-beneficiari;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;;Local;MENARINI EASY CHECK;https://mec.menarini.net;
Italy;A. Menarini Industrie Farmaceutiche Riunite S.R.L.;ETH;AM;Local;MENARINI.IT;http://www.menarini.it/;
